date,cases,deaths
19-Oct-20,8279804,220058
20-Oct-20,8340398,220987
21-Oct-20,8404635,222195
22-Oct-20,8479765,223023
23-Oct-20,8565062,223953
24-Oct-20,8643641,224825
25-Oct-20,8703356,225164
26-Oct-20,8777994,225701
27-Oct-20,8852381,226684
28-Oct-20,8934263,227702
29-Oct-20,9024932,228706
30-Oct-20,9124800,229674
31-Oct-20,9209007,230512
11-Jan-20,9283202,230940
11-Feb-20,9377208,231480
11-Mar-20,9469624,232610
11-Apr-20,9577702,234226
11-May-20,9699051,235334
11-Jun-20,9831874,236582
11-Jul-20,9957805,237589
11-Aug-20,10061218,238053
11-Sep-20,10191667,238798
11-Oct-20,10331417,240262
11-Nov-20,10474295,241693
11-Dec-20,10637946,242865
13-Nov-20,10819442,244255
14-Nov-20,10978475,245465
15-Nov-20,11113661,246088
16-Nov-20,11280224,246884
17-Nov-20,11441855,248491
18-Nov-20,11614135,250415
19-Nov-20,11801643,252376
20-Nov-20,12000502,254333
21-Nov-20,12172435,255758
22-Nov-20,12313229,256601
23-Nov-20,12492852,257639
24-Nov-20,12670710,259848
25-Nov-20,12851300,262161
26-Nov-20,12954294,263339
27-Nov-20,13160133,264751
28-Nov-20,13311541,265943
29-Nov-20,13447663,266761
30-Nov-20,13615321,268031
12-Jan-20,13799549,270639
12-Feb-20,14000721,273525
12-Mar-20,14218459,276381
12-Apr-20,14449827,279018
12-May-20,14655535,281208
12-Jun-20,14827456,282319
12-Jul-20,15031979,283853
12-Aug-20,15251693,286674
12-Sep-20,15471409,289830
12-Oct-20,15696634,292771
12-Nov-20,15977147,295726
12-Dec-20,16184679,297981
13-Dec-20,16368898,299338
14-Dec-20,16569783,301016
15-Dec-20,16772936,304041
16-Dec-20,17017763,307652
17-Dec-20,17255472,310950
18-Dec-20,17506662,313820
19-Dec-20,17700567,316381
20-Dec-20,17880478,317810
21-Dec-20,18081996,319773
22-Dec-20,18283633,323012
23-Dec-20,18511396,326424
24-Dec-20,18704907,329248
25-Dec-20,18805838,330377
26-Dec-20,19022699,332023
27-Dec-20,19174788,333253
28-Dec-20,19363798,335152
29-Dec-20,19564828,338780
30-Dec-20,19793777,342588
31-Dec-20,20024801,346050
01-Jan-21,20172049,347970
01-Feb-21,20463659,350343
01-Mar-21,20665439,351694
01-Apr-21,20917269,353743
01-May-21,21152285,357432
01-Jun-21,21408251,361396
01-Jul-21,21688585,365509
01-Aug-21,21989362,369404
01-Sep-21,22241281,372663
01-Oct-21,22449576,374440
01-Nov-21,22675892,376488
01-Dec-21,22905869,380894
13-Jan-21,23135194,384824
14-Jan-21,23374716,388804
15-Jan-21,23614569,392553
16-Jan-21,23816762,395894
17-Jan-21,23986856,397624
18-Jan-21,24127989,399065
19-Jan-21,24314933,401836
20-Jan-21,24500421,406216
21-Jan-21,24690903,410351
22-Jan-21,24882468,414082
23-Jan-21,25050385,417404
24-Jan-21,25180061,419219
25-Jan-21,25336637,421126
26-Jan-21,25487275,425224
